year,avg_temp,london_avg_temp
1750,8.72,10.25
1751,7.98,9.99
1752,5.78,6.54
1753,8.39,9.42
1754,8.47,9.2
1755,8.36,8.95
1756,8.85,9.42
1757,9.02,9.34
1758,6.74,8.85
1759,7.99,9.8
1760,7.19,9.26
1761,8.77,9.69
1762,8.61,8.99
1763,7.5,8.75
1764,8.4,9.14
1765,8.25,8.95
1766,8.41,9.07
1767,8.22,8.98
1768,6.78,9.12
1769,7.69,9.04
1770,7.69,9.03
1771,7.85,8.78
1772,8.19,9.36
1773,8.22,9.33
1774,8.77,9.1
1775,9.18,10.1
1776,8.3,9.21
1777,8.26,9.25
1778,8.54,9.8
1779,8.98,10.76
1780,9.43,9.67
1781,8.1,10.41
1782,7.9,8.44
1783,7.68,9.97
1784,7.86,8.29
1785,7.36,8.54
1786,8.26,8.35
1787,8.03,9.53
1788,8.45,9.39
1789,8.33,9.12
1790,7.98,9.67
1791,8.23,9.59
1792,8.09,9.56
1793,8.23,9.59
1794,8.53,10
1795,8.35,9.19
1796,8.27,9.5
1797,8.51,9.62
1798,8.67,9.83
1799,8.51,7.94
1800,8.48,9.32
1801,8.59,9.68
1802,8.58,9.31
1803,8.5,8.79
1804,8.84,9.37
1805,8.56,8.56
1806,8.43,9.87
1807,8.28,9.03
1808,7.63,8.91
1809,7.08,8.99
1810,6.92,8.97
1811,6.86,10.1
1812,7.05,8.58
1813,7.74,9.13
1814,7.59,7.93
1815,7.24,8.99
1816,6.94,7.98
1817,6.98,8.95
1818,7.83,9.88
1819,7.37,9.58
1820,7.62,8.61
1821,8.09,9.63
1822,8.19,10.36
1823,7.72,8.8
1824,8.55,9.65
1825,8.39,9.98
1826,8.36,10.12
1827,8.81,9.37
1828,8.17,10.1
1829,7.94,7.95
1830,8.52,8.78
1831,7.64,10.01
1832,7.45,9.24
1833,8.01,9.4
1834,8.15,10.59
1835,7.39,9.48
1836,7.7,9.04
1837,7.38,8.85
1838,7.51,8.05
1839,7.63,8.89
1840,7.8,8.68
1841,7.69,9.12
1842,8.02,9.43
1843,8.17,9.4
1844,7.65,8.85
1845,7.85,8.46
1846,8.55,10.48
1847,8.09,9.24
1848,7.98,9.52
1849,7.98,9.42
1850,7.9,9.06
1851,8.18,9.17
1852,8.1,9.96
1853,8.04,8.44
1854,8.21,9.3
1855,8.11,8.03
1856,8,9.17
1857,7.76,10.21
1858,8.1,9.2
1859,8.25,9.97
1860,7.96,8.17
1861,7.85,9.42
1862,7.56,9.56
1863,8.11,9.9
1864,7.98,8.74
1865,8.18,9.82
1866,8.29,9.69
1867,8.44,9.06
1868,8.25,10.5
1869,8.43,9.46
1870,8.2,8.94
1871,8.12,8.97
1872,8.19,10.07
1873,8.35,9.26
1874,8.43,9.37
1875,7.86,9.43
1876,8.08,9.75
1877,8.54,9.43
1878,8.83,9.47
1879,8.17,7.62
1880,8.12,9.35
1881,8.27,8.71
1882,8.13,9.43
1883,7.98,9.21
1884,7.77,9.86
1885,7.92,8.68
1886,7.95,8.8
1887,7.91,8.39
1888,8.09,8.31
1889,8.32,8.91
1890,7.97,8.86
1891,8.02,8.65
1892,8.07,8.35
1893,8.06,10.05
1894,8.16,9.42
1895,8.15,8.91
1896,8.21,9.41
1897,8.29,9.5
1898,8.18,10.08
1899,8.4,9.85
1900,8.5,9.73
1901,8.54,9.2
1902,8.3,8.95
1903,8.22,9.45
1904,8.09,9.18
1905,8.23,9.25
1906,8.38,9.62
1907,7.95,9.03
1908,8.19,9.31
1909,8.18,8.7
1910,8.22,9.39
1911,8.18,10.22
1912,8.17,9.57
1913,8.3,9.89
1914,8.59,9.98
1915,8.59,9.07
1916,8.23,9.28
1917,8.02,8.65
1918,8.13,9.6
1919,8.38,8.48
1920,8.36,9.67
1921,8.57,10.6
1922,8.41,8.81
1923,8.42,9.17
1924,8.51,9.34
1925,8.53,9.31
1926,8.73,9.83
1927,8.52,9.25
1928,8.63,9.69
1929,8.24,9.09
1930,8.63,9.7
1931,8.72,9.12
1932,8.71,9.57
1933,8.34,9.96
1934,8.63,10.11
1935,8.52,9.9
1936,8.55,9.43
1937,8.7,9.69
1938,8.86,10.18
1939,8.76,9.77
1940,8.76,9.06
1941,8.77,9.09
1942,8.73,9.1
1943,8.76,10.19
1944,8.85,9.62
1945,8.58,10.39
1946,8.68,9.58
1947,8.8,9.75
1948,8.75,10.16
1949,8.59,10.63
1950,8.37,9.75
1951,8.63,9.52
1952,8.64,9.35
1953,8.87,9.95
1954,8.56,9.35
1955,8.63,9.39
1956,8.28,8.87
1957,8.73,10.26
1958,8.77,9.66
1959,8.73,10.63
1960,8.58,9.88
1961,8.8,10.2
1962,8.75,8.65
1963,8.86,8.48
1964,8.41,9.53
1965,8.53,9.03
1966,8.6,9.59
1967,8.7,9.81
1968,8.52,9.48
1969,8.6,9.47
1970,8.7,9.69
1971,8.6,9.89
1972,8.5,9.41
1973,8.95,9.75
1974,8.47,9.7
1975,8.74,9.99
1976,8.35,10.28
1977,8.85,9.69
1978,8.69,9.41
1979,8.73,9.06
1980,8.98,9.54
1981,9.17,9.38
1982,8.64,10.07
1983,9.03,10.12
1984,8.69,9.75
1985,8.66,9
1986,8.83,8.94
1987,8.99,9.22
1988,9.2,9.82
1989,8.92,10.76
1990,9.23,10.94
1991,9.18,9.67
1992,8.84,10.15
1993,8.87,9.69
1994,9.04,10.48
1995,9.35,10.55
1996,9.04,9.27
1997,9.2,10.64
1998,9.52,10.4
1999,9.29,10.86
2000,9.2,10.52
2001,9.41,10.18
2002,9.57,10.91
2003,9.53,10.81
2004,9.32,10.77
2005,9.7,10.63
2006,9.53,11.1
2007,9.73,10.83
2008,9.43,10.38
2009,9.51,10.52
2010,9.7,9.38
2011,9.52,11.19
2012,9.51,10
2013,9.61,9.91
